Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,699,India,IND,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,526615466,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,702,Singapore,SGP,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,12351840,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,704,Viet Nam,VNM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,57671794,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,710,South Africa,ZAF,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,473000159,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,716,Zimbabwe,ZWE,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1121,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,729,Sudan,SDN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,67677,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,732,Western Sahara,ESH,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,58,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,740,Suriname,SUR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,110265,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,748,Eswatini,SWZ,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,17901,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,757,Switzerland,CHE,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1879455532,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,760,Syria,SYR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,39938,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,762,Tajikistan,TJK,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,6194959,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,764,Thailand,THA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,76800973,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,768,Togo,TGO,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,670037,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,772,Tokelau,TKL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,173,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,776,Tonga,TON,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,19,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,780,Trinidad and Tobago,TTO,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,48947,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,784,United Arab Emirates,ARE,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1501019210,,,4
